Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
TANISHQ,JEWELLERY,Tanishq,Titan Company Limited,TANISHQ,HIGH_VALUE_PURCHASE
MALABAR_GOLD,JEWELLERY,Malabar Gold & Diamonds,Malabar Gold and Diamonds,MALABAR GOLD,HIGH_VALUE_PURCHASE
KALYAN_JEWELLERS,JEWELLERY,Kalyan Jewellers,Kalyan Jewellers India Limited,KALYAN JEWELLERS,HIGH_VALUE_PURCHASE
PC_JEWELLER,JEWELLERY,PC Jeweller,PC Jeweller Limited,PC JEWELLER,HIGH_VALUE_PURCHASE
SEN_CO_GOLD,JEWELLERY,Senco Gold,Senco Gold Limited,SENCO GOLD,HIGH_VALUE_PURCHASE
JOY_ALUKKAS,JEWELLERY,Joyalukkas,Joyalukkas India Private Limited,JOYALUKKAS,HIGH_VALUE_PURCHASE
