Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
AIRTEL,RECHARGE,Airtel,Bharti Airtel Limited,"AIRTEL, AIRTEL RECHARGE",DIGITAL_PAYMENT
JIO,RECHARGE,Jio,Reliance Jio Infocomm Limited,"JIO, JIO RECHARGE",DIGITAL_PAYMENT
VI,RECHARGE,Vi (Vodafone Idea),Vodafone Idea Limited,"VI, VI RECHARGE, VODAFONE",DIGITAL_PAYMENT
BSNL,RECHARGE,BSNL,Bharat Sanchar Nigam Limited,"BSNL, BSNL RECHARGE",DIGITAL_PAYMENT
TATA_PLAY,RECHARGE,Tata Play (DTH),Tata Play Limited,"TATA PLAY, TATA SKY",DIGITAL_PAYMENT
DISH_TV,RECHARGE,Dish TV,Dish TV India Limited,DISH TV,DIGITAL_PAYMENT
SUNDIN,RECHARGE,Sun Direct (DTH),Sun Direct TV Private Limited,SUN DIRECT,DIGITAL_PAYMENT
