Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
WAZIRX,CRYPTO_EXCHANGE,WazirX,Zanmai Labs Private Limited (Indian entity; Singapore parent: Zettai Pte Ltd),WAZIRX,CRYPTO_HIGH_RISK
COINDCX,CRYPTO_EXCHANGE,CoinDCX,Neblio Technologies Private Limited,COINDCX,CRYPTO_HIGH_RISK
COINSWITCH,CRYPTO_EXCHANGE,CoinSwitch,Bitcipher Labs LLP,"COINSWITCH, COINSWITCH KUBER",CRYPTO_HIGH_RISK
ZEBPAY,CRYPTO_EXCHANGE,ZebPay,,ZEBPAY,CRYPTO_HIGH_RISK
MUDREX,CRYPTO_EXCHANGE,Mudrex,Mudrex Inc.,MUDREX,CRYPTO_HIGH_RISK
BUYUCOIN,CRYPTO_EXCHANGE,BuyUcoin,,BUYUCOIN,CRYPTO_HIGH_RISK
