Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
SWIGGY,FOOD_DELIVERY,Swiggy,Swiggy Limited,SWIGGY,DIGITAL_PAYMENT
INSTAMART,FOOD_DELIVERY,Swiggy Instamart,Swiggy Limited,INSTAMART,DIGITAL_PAYMENT
ZOMATO,FOOD_DELIVERY,Zomato,Eternal Limited,ZOMATO,DIGITAL_PAYMENT
BLINKIT,FOOD_DELIVERY,Blinkit,Blink Commerce Private Limited,BLINKIT,DIGITAL_PAYMENT
ZEPTO,FOOD_DELIVERY,Zepto,Kiranakart Technologies Private Limited,ZEPTO,DIGITAL_PAYMENT
EATCLUB,FOOD_DELIVERY,EatClub,,EATCLUB,DIGITAL_PAYMENT
DOMINOS,FOOD_DELIVERY,Domino's Pizza,Jubilant FoodWorks Limited,DOMINOS,DIGITAL_PAYMENT
PIZZAHUT,FOOD_DELIVERY,Pizza Hut,,PIZZAHUT,DIGITAL_PAYMENT
