Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
SRI_MANDIR,RELIGIOUS_APP,Sri Mandir,AppsForBharat,SRI MANDIR,DIGITAL_PAYMENT
DEVDHAM,RELIGIOUS_APP,DevDham,Aadhyatmik Technologies Private Limited,DEVDHAM,DIGITAL_PAYMENT
SHEMAROO_BHAKTI,RELIGIOUS_APP,Shemaroo Bhakti,Shemaroo Entertainment Limited,SHEMAROO BHAKTI,DIGITAL_PAYMENT
ASTROSAGE,RELIGIOUS_APP,AstroSage,,ASTROSAGE,DIGITAL_PAYMENT
TEMPLE_DONATION,RELIGIOUS_APP,Temple Trust / Donation,,"TEMPLE DONATION, TIRUMALA, SIDDHIVINAYAK, SHIRDI, VAISHNO DEVI",DIGITAL_PAYMENT
