Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
DELHIVERY,LOGISTICS,Delhivery,Delhivery Limited,DELHIVERY,DIGITAL_PAYMENT
PORTER,LOGISTICS,Porter,Smartshift Logistics Private Limited,PORTER,DIGITAL_PAYMENT
DTDC,LOGISTICS,DTDC,DTDC Express Limited,DTDC,DIGITAL_PAYMENT
BLUEDART,LOGISTICS,Blue Dart,Blue Dart Express Limited,"BLUEDART, BLUE DART",DIGITAL_PAYMENT
EKART,LOGISTICS,Ekart Logistics,Ekart Logistics (Flipkart subsidiary),EKART,DIGITAL_PAYMENT
SHADOWFAX,LOGISTICS,Shadowfax,Shadowfax Technologies Private Limited,SHADOWFAX,DIGITAL_PAYMENT
XPRESSBEES,LOGISTICS,Xpressbees,Busybees Logistics Solutions Private Limited,XPRESSBEES,DIGITAL_PAYMENT
