Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
DREAM11,REAL_MONEY_GAMING,Dream11 (BANNED - Real Money),Dream11 Fantasy Private Limited,DREAM11,PROHIBITED_REAL_MONEY_GAMING
MPL,REAL_MONEY_GAMING,MPL (BANNED - Real Money),Mobile Premier League,MPL,PROHIBITED_REAL_MONEY_GAMING
RUMMYCIRCLE,REAL_MONEY_GAMING,RummyCircle / My11Circle (BANNED),Games24x7 Private Limited,"RUMMYCIRCLE, MY11CIRCLE",PROHIBITED_REAL_MONEY_GAMING
GAMESKRAFT,REAL_MONEY_GAMING,Gameskraft (BANNED),Gameskraft Technologies Private Limited,"GAMESKRAFT, RUMMYTIME",PROHIBITED_REAL_MONEY_GAMING
POKERBAAZI,REAL_MONEY_GAMING,PokerBaazi (BANNED),Moonshine Technology Private Limited,POKERBAAZI,PROHIBITED_REAL_MONEY_GAMING
WINZO,REAL_MONEY_GAMING,WinZO (BANNED),Tictok Skill Games Private Limited,WINZO,PROHIBITED_REAL_MONEY_GAMING
ZUPEE,REAL_MONEY_GAMING,Zupee (BANNED),Cashgrail Private Limited,ZUPEE,PROHIBITED_REAL_MONEY_GAMING
