Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
NINETYNINE_ACRES,REAL_ESTATE,99acres,Info Edge (India) Limited,99ACRES,DIGITAL_PAYMENT
HOUSING,REAL_ESTATE,Housing.com,REA India Private Limited,HOUSING.COM,DIGITAL_PAYMENT
NOBROKER,REAL_ESTATE,NoBroker,NoBroker Technologies Solutions Private Limited,NOBROKER,DIGITAL_PAYMENT
MAGICBRICKS,REAL_ESTATE,MagicBricks,Times Internet Limited,MAGICBRICKS,DIGITAL_PAYMENT
COMMONFLOOR,REAL_ESTATE,CommonFloor,Quikr India Private Limited,COMMONFLOOR,DIGITAL_PAYMENT
