Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
NEFT_TRANSFER,BANK_TRANSFER,NEFT Transfer,,"NEFT, NEFT CR, NEFT DR",BANK_TRANSFER
RTGS_TRANSFER,BANK_TRANSFER,RTGS Transfer,,"RTGS, RTGS CR, RTGS DR",BANK_TRANSFER
IMPS_TRANSFER,BANK_TRANSFER,IMPS Transfer,,"IMPS, IMPS CR, IMPS DR",BANK_TRANSFER
UPI_TRANSFER,BANK_TRANSFER,UPI Transfer (Generic),,"UPI CR, UPI DR, UPI TRANSFER",BANK_TRANSFER
CHEQUE,BANK_TRANSFER,Cheque / DD,,"CHEQUE, CHQ, DD, DEMAND DRAFT",BANK_TRANSFER
SELF_TRANSFER,BANK_TRANSFER,Self / Internal Transfer,,"SELF TRANSFER, INTERNAL TRANSFER, OWN ACCOUNT",BANK_TRANSFER
FUND_TRANSFER,BANK_TRANSFER,Generic Fund Transfer,,"FUND TRANSFER, FT, BY TRANSFER",BANK_TRANSFER
