Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
PHARMEASY,HEALTHCARE,PharmEasy,API Holdings Limited,PHARMEASY,DIGITAL_PAYMENT
TATA_1MG,HEALTHCARE,Tata 1mg,1mg Technologies Private Limited,"1MG, TATA 1MG",DIGITAL_PAYMENT
NETMEDS,HEALTHCARE,Netmeds,Dadha Pharma Distribution Private Limited,NETMEDS,DIGITAL_PAYMENT
PRACTO,HEALTHCARE,Practo,Practo Technologies Private Limited,PRACTO,DIGITAL_PAYMENT
APOLLO_247,HEALTHCARE,Apollo 247,Apollo HealthCo Limited,"APOLLO 247, APOLLO PHARMACY",DIGITAL_PAYMENT
HEALTHIANS,HEALTHCARE,Healthians,Healthians.com Private Limited,HEALTHIANS,DIGITAL_PAYMENT
LYBRATE,HEALTHCARE,Lybrate,Lybrate India Private Limited,LYBRATE,DIGITAL_PAYMENT
