Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
BANDHAN_MFI,MICROFINANCE,Bandhan Bank / MFI,Bandhan Bank Limited,"BANDHAN MFI, BANDHAN FINANCE",DIGITAL_PAYMENT
SPANDANA,MICROFINANCE,Spandana Sphoorty,Spandana Sphoorty Financial Limited,SPANDANA,DIGITAL_PAYMENT
AROHAN,MICROFINANCE,Arohan Financial,Arohan Financial Services Private Limited,AROHAN,DIGITAL_PAYMENT
UJJIVAN,MICROFINANCE,Ujjivan Finance,Ujjivan Financial Services Limited,UJJIVAN,DIGITAL_PAYMENT
CASHPOR,MICROFINANCE,CASHPOR,CASHPOR Micro Credit,CASHPOR,DIGITAL_PAYMENT
FUSION_MFI,MICROFINANCE,Fusion Microfinance,Fusion Microfinance Limited,"FUSION MFI, FUSION FINANCE",DIGITAL_PAYMENT
