Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
1XBET,ILLEGAL_BETTING,1xBet,1X Corp N.V. (offshore; illegal in India),"1XBET, 1X BET",ILLEGAL_HIGH_RISK
STAKE,ILLEGAL_BETTING,Stake,Medium Rare N.V. (offshore; illegal in India),STAKE,ILLEGAL_HIGH_RISK
PARIMATCH,ILLEGAL_BETTING,Parimatch,Parimatch Tech (offshore; illegal in India),PARIMATCH,ILLEGAL_HIGH_RISK
BETWAY,ILLEGAL_BETTING,Betway,Super Group (offshore; illegal in India),BETWAY,ILLEGAL_HIGH_RISK
DAFABET,ILLEGAL_BETTING,Dafabet,AsianBGE (offshore; illegal in India),DAFABET,ILLEGAL_HIGH_RISK
MOSTBET,ILLEGAL_BETTING,MostBet,Bizbon N.V. (offshore; illegal in India),MOSTBET,ILLEGAL_HIGH_RISK
BETWINNER,ILLEGAL_BETTING,BetWinner,Marikit Holdings Ltd. (offshore; illegal in India),BETWINNER,ILLEGAL_HIGH_RISK
MELBET,ILLEGAL_BETTING,Melbet,,MELBET,ILLEGAL_HIGH_RISK
