Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
BIGBASKET,QUICK_COMMERCE,BigBasket,Supermarket Grocery Supplies Private Limited,"BIGBASKET, BB NOW",DIGITAL_PAYMENT
FLIPKART_MINUTES,QUICK_COMMERCE,Flipkart Minutes,Flipkart Internet Private Limited,FLIPKART MINUTES,DIGITAL_PAYMENT
JIOMART,QUICK_COMMERCE,JioMart,Reliance Retail Limited,JIOMART,DIGITAL_PAYMENT
BLINKIT,QUICK_COMMERCE,Blinkit,Blink Commerce Private Limited,BLINKIT,DIGITAL_PAYMENT
INSTAMART,QUICK_COMMERCE,Swiggy Instamart,Swiggy Limited,INSTAMART,DIGITAL_PAYMENT
ZEPTO,QUICK_COMMERCE,Zepto,Kiranakart Technologies Private Limited,ZEPTO,DIGITAL_PAYMENT
DUNZO,QUICK_COMMERCE,Dunzo,Dunzo Digital Private Limited,DUNZO,DIGITAL_PAYMENT
