Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
WISE,REMITTANCE,Wise,Wise Payments Limited,"WISE, TRANSFERWISE",CROSS_BORDER_TRANSFER
WESTERN_UNION,REMITTANCE,Western Union,The Western Union Company,WESTERN UNION,CROSS_BORDER_TRANSFER
MONEYGRAM,REMITTANCE,MoneyGram,"MoneyGram International, Inc.",MONEYGRAM,CROSS_BORDER_TRANSFER
REMITLY,REMITTANCE,Remitly,"Remitly, Inc.",REMITLY,CROSS_BORDER_TRANSFER
INSTAREM,REMITTANCE,InstaReM,Nium Pte. Ltd.,INSTAREM,CROSS_BORDER_TRANSFER
PAYSEND,REMITTANCE,Paysend,Paysend Group Limited,PAYSEND,CROSS_BORDER_TRANSFER
XOOM,REMITTANCE,Xoom,"Xoom, a PayPal Service",XOOM,CROSS_BORDER_TRANSFER
