Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
OLX,C2C_MARKETPLACE,OLX,,OLX,C2C_FRAUD_RISK
QUIKR,C2C_MARKETPLACE,Quikr,Quikr India Private Limited,QUIKR,C2C_FRAUD_RISK
CASHIFY,C2C_MARKETPLACE,Cashify,Manak Waste Management Private Limited,CASHIFY,DIGITAL_PAYMENT
SPINNY,C2C_MARKETPLACE,Spinny,Shriram Automall India Limited (partner),SPINNY,DIGITAL_PAYMENT
CARS24,C2C_MARKETPLACE,CARS24,CARS24 Services Private Limited,CARS24,DIGITAL_PAYMENT
DROOM,C2C_MARKETPLACE,Droom,Droom Technology Private Limited,DROOM,DIGITAL_PAYMENT
