Store, ,Trade Name,Legal Name,Narration Variants,Risk Type
IOCL,FUEL,Indian Oil,Indian Oil Corporation Limited,"IOCL, INDIAN OIL, INDANE",DIGITAL_PAYMENT
BPCL,FUEL,BPCL,Bharat Petroleum Corporation Limited,"BPCL, BHARAT PETROLEUM",DIGITAL_PAYMENT
HPCL,FUEL,HPCL,Hindustan Petroleum Corporation Limited,"HPCL, HINDUSTAN PETROLEUM",DIGITAL_PAYMENT
RELIANCE_FUEL,FUEL,Reliance Petroleum,Reliance Industries Limited,"RELIANCE FUEL, RELIANCE PETROL",DIGITAL_PAYMENT
NAYARA,FUEL,Nayara Energy,Nayara Energy Limited,NAYARA,DIGITAL_PAYMENT
