Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
HDFC_CC,CREDIT_CARD,HDFC Bank Credit Card,HDFC Bank Limited,"HDFC CREDIT CARD, HDFC CC BILL",CREDIT_CARD_REPAYMENT
SBI_CARD,CREDIT_CARD,SBI Card,SBI Cards and Payment Services Limited,"SBI CARD, SBI CC BILL",CREDIT_CARD_REPAYMENT
ICICI_CC,CREDIT_CARD,ICICI Credit Card,ICICI Bank Limited,"ICICI CREDIT CARD, ICICI CC",CREDIT_CARD_REPAYMENT
AXIS_CC,CREDIT_CARD,Axis Bank Credit Card,Axis Bank Limited,"AXIS CREDIT CARD, AXIS CC",CREDIT_CARD_REPAYMENT
AMEX,CREDIT_CARD,American Express,American Express Banking Corp.,"AMEX, AMERICAN EXPRESS",CREDIT_CARD_REPAYMENT
KOTAK_CC,CREDIT_CARD,Kotak Credit Card,Kotak Mahindra Bank Limited,KOTAK CREDIT CARD,CREDIT_CARD_REPAYMENT
INDUSIND_CC,CREDIT_CARD,IndusInd Credit Card,IndusInd Bank Limited,INDUSIND CREDIT CARD,CREDIT_CARD_REPAYMENT
YES_CC,CREDIT_CARD,Yes Bank Credit Card,Yes Bank Limited,YES CREDIT CARD,CREDIT_CARD_REPAYMENT
ONECARD,CREDIT_CARD,OneCard,FPL Technologies Private Limited,"ONECARD, ONE CARD",CREDIT_CARD_REPAYMENT
