Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
STEAM,CASUAL_GAMING,Steam,Valve Corporation,STEAM,DIGITAL_PAYMENT
GOOGLE_PLAY_GAMES,CASUAL_GAMING,Google Play Games,Google LLC,GOOGLE PLAY GAMES,DIGITAL_PAYMENT
BATTLEGROUNDS,CASUAL_GAMING,Battlegrounds Mobile India (BGMI),Krafton Inc.,"BGMI, BATTLEGROUNDS",DIGITAL_PAYMENT
GARENA,CASUAL_GAMING,Garena Free Fire,Garena Online Private Limited,"GARENA, FREE FIRE",DIGITAL_PAYMENT
LOCO,CASUAL_GAMING,Loco,Pocket Aces Pictures Private Limited,LOCO,DIGITAL_PAYMENT
